clusterer	embedder	extra	metric	value
hdbscan	all-mpnet-base-v2	min_cluster_size=5	bootstrap_std_ari	0.0
hdbscan	all-mpnet-base-v2	min_cluster_size=5	bootstrap_n_runs	10.0
hdbscan_umap	all-mpnet-base-v2	umap_dim=10 min_cluster_size=5	n_clusters	6.0
hdbscan_umap	all-mpnet-base-v2	umap_dim=10 min_cluster_size=5	n_noise	43.0
hdbscan_umap	all-mpnet-base-v2	umap_dim=10 min_cluster_size=5	silhouette	0.08999548107385635
hdbscan_umap	all-mpnet-base-v2	umap_dim=10 min_cluster_size=5	davies_bouldin	2.9182301147891256
hdbscan_umap	all-mpnet-base-v2	umap_dim=10 min_cluster_size=5	calinski_harabasz	4.565881916165947
hdbscan_umap	all-mpnet-base-v2	umap_dim=10 min_cluster_size=5	npmi	0.46716131239632647
hdbscan_umap	all-mpnet-base-v2	umap_dim=10 min_cluster_size=5	bootstrap_mean_ari	0.23336932664175106
hdbscan_umap	all-mpnet-base-v2	umap_dim=10 min_cluster_size=5	bootstrap_std_ari	0.13370434695268246
hdbscan_umap	all-mpnet-base-v2	umap_dim=10 min_cluster_size=5	bootstrap_n_runs	10.0
bertopic	all-mpnet-base-v2		n_clusters	3.0
bertopic	all-mpnet-base-v2		n_noise	62.0
bertopic	all-mpnet-base-v2		silhouette	0.08595434576272964
bertopic	all-mpnet-base-v2		davies_bouldin	3.77619581671158
bertopic	all-mpnet-base-v2		calinski_harabasz	4.864503926085927
bertopic	all-mpnet-base-v2		npmi	0.4398814372180205
bertopic	all-mpnet-base-v2		bootstrap_mean_ari	0.22803929800070613
bertopic	all-mpnet-base-v2		bootstrap_std_ari	0.06800082515825936
bertopic	all-mpnet-base-v2		bootstrap_n_runs	10.0
kmeans	intfloat/e5-base-v2	k=2	n_clusters	2.0
kmeans	intfloat/e5-base-v2	k=2	n_noise	0.0
kmeans	intfloat/e5-base-v2	k=2	silhouette	0.06570222228765488
kmeans	intfloat/e5-base-v2	k=2	davies_bouldin	4.869447741095724
kmeans	intfloat/e5-base-v2	k=2	calinski_harabasz	6.658665893158139
kmeans	intfloat/e5-base-v2	k=2	npmi	0.25896503584946884
kmeans	intfloat/e5-base-v2	k=2	bootstrap_mean_ari	0.1780352858186009
kmeans	intfloat/e5-base-v2	k=2	bootstrap_std_ari	0.05636419249028436
kmeans	intfloat/e5-base-v2	k=2	bootstrap_n_runs	10.0
agglomerative	intfloat/e5-base-v2	k=2	n_clusters	2.0
agglomerative	intfloat/e5-base-v2	k=2	n_noise	0.0
agglomerative	intfloat/e5-base-v2	k=2	silhouette	0.09986214339733124
agglomerative	intfloat/e5-base-v2	k=2	davies_bouldin	1.660675025481591
agglomerative	intfloat/e5-base-v2	k=2	calinski_harabasz	1.776421258605416
agglomerative	intfloat/e5-base-v2	k=2	npmi	0.41131766659423574
agglomerative	intfloat/e5-base-v2	k=2	bootstrap_mean_ari	0.017849292947563707
agglomerative	intfloat/e5-base-v2	k=2	bootstrap_std_ari	0.033861061852990704
agglomerative	intfloat/e5-base-v2	k=2	bootstrap_n_runs	10.0
hdbscan	intfloat/e5-base-v2	min_cluster_size=5	n_clusters	0.0
hdbscan	intfloat/e5-base-v2	min_cluster_size=5	n_noise	161.0
hdbscan	intfloat/e5-base-v2	min_cluster_size=5	silhouette	
hdbscan	intfloat/e5-base-v2	min_cluster_size=5	davies_bouldin	
hdbscan	intfloat/e5-base-v2	min_cluster_size=5	calinski_harabasz	
hdbscan	intfloat/e5-base-v2	min_cluster_size=5	npmi	
hdbscan	intfloat/e5-base-v2	min_cluster_size=5	bootstrap_mean_ari	0.3
hdbscan	intfloat/e5-base-v2	min_cluster_size=5	bootstrap_std_ari	0.45825756949558405
hdbscan	intfloat/e5-base-v2	min_cluster_size=5	bootstrap_n_runs	10.0
hdbscan_umap	intfloat/e5-base-v2	umap_dim=10 min_cluster_size=5	n_clusters	7.0
hdbscan_umap	intfloat/e5-base-v2	umap_dim=10 min_cluster_size=5	n_noise	57.0
hdbscan_umap	intfloat/e5-base-v2	umap_dim=10 min_cluster_size=5	silhouette	0.07317272573709488
hdbscan_umap	intfloat/e5-base-v2	umap_dim=10 min_cluster_size=5	davies_bouldin	3.0151260344044273
hdbscan_umap	intfloat/e5-base-v2	umap_dim=10 min_cluster_size=5	calinski_harabasz	3.7677249433485946
hdbscan_umap	intfloat/e5-base-v2	umap_dim=10 min_cluster_size=5	npmi	0.48522729349263166
hdbscan_umap	intfloat/e5-base-v2	umap_dim=10 min_cluster_size=5	bootstrap_mean_ari	0.15984076663530775
hdbscan_umap	intfloat/e5-base-v2	umap_dim=10 min_cluster_size=5	bootstrap_std_ari	0.09793455130868621
hdbscan_umap	intfloat/e5-base-v2	umap_dim=10 min_cluster_size=5	bootstrap_n_runs	10.0
bertopic	intfloat/e5-base-v2		n_clusters	0.0
bertopic	intfloat/e5-base-v2		n_noise	161.0
bertopic	intfloat/e5-base-v2		silhouette	
bertopic	intfloat/e5-base-v2		davies_bouldin	
bertopic	intfloat/e5-base-v2		calinski_harabasz	
bertopic	intfloat/e5-base-v2		npmi	
bertopic	intfloat/e5-base-v2		bootstrap_mean_ari	0.1
bertopic	intfloat/e5-base-v2		bootstrap_std_ari	0.30000000000000004
bertopic	intfloat/e5-base-v2		bootstrap_n_runs	10.0
kmeans	BAAI/bge-small-en-v1.5	k=3	n_clusters	3.0
kmeans	BAAI/bge-small-en-v1.5	k=3	n_noise	0.0
kmeans	BAAI/bge-small-en-v1.5	k=3	silhouette	0.0913219004869461
kmeans	BAAI/bge-small-en-v1.5	k=3	davies_bouldin	3.7529616949833433
kmeans	BAAI/bge-small-en-v1.5	k=3	calinski_harabasz	7.597564446008105
kmeans	BAAI/bge-small-en-v1.5	k=3	npmi	0.4102229378645803
kmeans	BAAI/bge-small-en-v1.5	k=3	bootstrap_mean_ari	0.3563747076707485
kmeans	BAAI/bge-small-en-v1.5	k=3	bootstrap_std_ari	0.20005563880064955
kmeans	BAAI/bge-small-en-v1.5	k=3	bootstrap_n_runs	10.0
agglomerative	BAAI/bge-small-en-v1.5	k=3	n_clusters	3.0
agglomerative	BAAI/bge-small-en-v1.5	k=3	n_noise	0.0
agglomerative	BAAI/bge-small-en-v1.5	k=3	silhouette	0.09892754256725311
agglomerative	BAAI/bge-small-en-v1.5	k=3	davies_bouldin	1.35863792855847
agglomerative	BAAI/bge-small-en-v1.5	k=3	calinski_harabasz	1.676012019448123
agglomerative	BAAI/bge-small-en-v1.5	k=3	npmi	0.5913221893995763
agglomerative	BAAI/bge-small-en-v1.5	k=3	bootstrap_mean_ari	0.32508564391655254
agglomerative	BAAI/bge-small-en-v1.5	k=3	bootstrap_std_ari	0.3063882627393558
agglomerative	BAAI/bge-small-en-v1.5	k=3	bootstrap_n_runs	10.0
